Метод,Год,К/Ж,Тип обучения,Модальности,Энкодеры,Тип слияния,Корпус
SCMM,2023,ACL,С учителем,ТАВ,sBERT + специализированные экстракторы + Transformer + Bi-GRU,Полное / частичное / смещенное взаимодействие + адаптивный выбор пути,"IEMOCAP, MELD, MOSEI"
AMANDA,2024,ACL,С учителем,ТАВ,BERT + Wav2Vec2 + APViT + LSTM/TextCNN,Поканальное выравнивание корреляций + адаптивная балансировка,"IEMOCAP, MELD, CMU-MOSEI MSP-IMPROV"
QAP,2023,ACL,С учителем,ТАВ,ALBERT + VGG + OpenFace2 + openSMILE + Transformer,Q-attention + упорядоченное слияние на основе приоритетов,"IEMOCAP, CMU-MOSEI"
UniEmotion,2025,ACM MM,Полууправляемое,ТАВ,CLIP + HuBERT + BaiChuan + MLLM,Слияние на основе attention + consensus ensemble,"MER2025, OV-MERD, MER-Caption+"
MemoCMT,2025,Scientific Reports,С учителем,ТА,HuBERT + BERT,Кросс-модальный Transformer (CMT) + агрегация (CLS / MEAN / MAX / MIN),"IEMOCAP, ESD (English subset), MELD"
ECERC,2025,ACL,С учителем,ТАВ,RoBERTa-Large + OpenSMILE + 3D-CNN,Evidence-Cause Attention + многоголовое внимание + gated fusion,"IEMOCAP, MELD"
DialogueMLLM,2025,IEEE,С учителем,ТАВ,Video-LLaMA (LLaMA2),Покомпонентное мультимодальное слияние на уровне токенов (LLM-based soft prompt concatenation),MELD
CBERL,2023,IEEE,С учителем,ТАВ,BERT + 3D-CNN + openSMILE,DJVAE (совместное VAE-слияние) + взаимодействие на основе GNN,"IEMOCAP, MELD"
GMA (Gated Multimodal Attention),2025,Scientific Reports,С учителем,ТАВ,RoBERTa + openSMILE + DenseNet,Кросс-модальное gated self-attention + distillation,"IEMOCAP, MELD"
ConxGNN,2024,arXiv,С учителем,ТАВ,Transformer + FC layers + Speaker Embedding,Многомасштабный граф (IGM) + Hypergraph + Cross-modal Attention,"IEMOCAP, MELD"
GatedxLSTM,2025,arXiv,С учителем,ТА,CLAP + xLSTM (sLSTM + mLSTM),"Слияние на уровне модели + gated fusion + пространство представлений, выровненное CLAP",IEMOCAP
CARAT,2024,AAAI-24,С учителем,ТАВ,Transformer Encoder + 2-layer MLP encoders/decoders,Слияние на основе реконструкции + контрастивное выравнивание латентных представлений + shuffle-based aggregation,"CMU-MOSEI, M3ED"
MAGTKD,2025,arXiv,С учителем,ТАВ,RoBERTa + Data2Vec + Timesformer,Якорное мультимодальное слияние на уровне высказываний через Anchor Gated Transformer (MAGT) + gated fusion,"IEMOCAP, MELD"
DER-GCN,2024,arXiv,С учителем,ТАВ,RoBERTa + 3D-CNN + Bi-LSTM/Encoder + Bi-GRU,Кросс-модальное внимание + графовое слияние + relation-aware aggregation,"IEMOCAP, MELD"
HyFusER,2025,Applied Sciences (MDPI),С учителем,ТА,KoELECTRA + HuBERT,Dual Cross Modal Attention + гибридное слияние (intermediate + late),"KEMDy19, KEMDy20, AI-HUB"
Emotional Cues Extraction & Fusion (KWRT + TMF),2024,arXiv,С учителем,ТА,RoBERTa + WavLM + Prosody Encoder,Двухэтапное слияние + spectral-domain fusion,"IEMOCAP, MELD"
GS-MCC,2025,AAAI,С учителем,ТАВ,RoBERTa + openSMILE + 3D-CNN + GRU,Fourier Graph Operators + моделирование высоких/низких частот + anti-over-smoothing,"IEMOCAP, MELD"
TelME,2024,NAACL,С учителем,ТАВ,RoBERTa + data2vec + TimeSformer,Слияние со сдвигом модальностей на основе attention + teacher-student fusion,"IEMOCAP, MELD"
MKE-IGN,2024,EMNLP,С учителем,ТАВ,RoBERTa-large + OpenSmile + DenseNet + BiGRU + Graph Transformer,Интерактивное графовое слияние с knowledge-enhanced edge representations,"IEMOCAP, MELD"
UniMEEC,2024,EMNLP,С учителем,ТАВ,BERT + Mel-spectrogram features + EfficientNet + hierarchical GAT context encoder,Prompt-based multimodal fusion + иерархическая агрегация графового контекста,"MELD, IEMOCAP"
BIG-FUSION,2025,AAAI,С учителем,ТАВ,RoBERTa + OpenSmile + DenseNet + dual-attention Transformer + RGCN,Глобально-локальное контекстное слияние + spiking attention + graph-based fusion + GCL,"IEMOCAP, MELD"
DialogueMMT,2025,COLING,С учителем,ТВ,Mistral-7B-Instruct + CLIP ViT-L/14-336 + STC connector,Vision-language fusion + multi-task tuning + CoT-based classification,"MELD, EmoryNLP, IEMOCAP"
AdaIGN,2024,AAAI,С учителем,ТАВ,RoBERTa-large + OpenSmile + DenseNet + BiGRU + adaptive interactive graph network,Graph-based multimodal fusion + adaptive node/edge selection + graph-level selection,"IEMOCAP, MELD"
DCLF,2025,COLING,С учителем,ТАВ,DDIN / MMGCN backbone,Мультимодальное слияние + context-aware CL + modality-contribution CL,"IEMOCAP, MELD"
GRPO-LLM,2025,EMNLP,С учителем,ТАВ,LoRA-LLM + Qwen2-Audio + Qwen2-VL,Адаптивное слияние с выбором модальностей,"IEMOCAP, MELD"
DGODE,2025,COLING,С учителем,ТАВ,RoBERTa + OpenSmile + DenseNet + Bi-GRU + adaptive MixHop GCN + Graph ODE,Graph-based multimodal fusion + adaptive MixHop aggregation + temporal ODE modeling,"IEMOCAP, MELD"
CMERC,2024,ACM Multimedia,С учителем,ТАВ,RoBERTa + OpenSmile + DenseNet + backbone MERC model,Мультимодальное слияние с confidence calibration + hybrid SCL,"IEMOCAP, MELD"
SDT,2023,IEEE,С учителем,ТАВ,RoBERTa + OpenSmile + DenseNet + intra/inter-modal Transformers,Иерархическое gated fusion + self-distillation,"IEMOCAP, MELD"
Speaker Identification + Knowledge Distillation + Hierarchical Fusion,2025,ACL,С учителем,ТАВ,RoBERTa + Wav2Vec2.0 + TimeSformer + LipSyncNet + GAT/GCN,Иерархическое attention fusion,"MELD, IEMOCAP"
Multi-Modal Multi-Task Affective States Recognition Based on Label Encoder Fusion,2025,Interspeech,С учителем,ТАВ,Wav2Vec2 / ExHuBERT + EmoAffectNet / ResEmoteNet + XLM-RoBERTa / JINA + Label Encoder Fusion (LEFS / LEFSA),Hybrid fusion (feature-level + label/prediction fusion),"RAMAS, MELD, CMU-MOSEI"
