Метод,Год,К/Ж,Тип обучения,Модальность,Энкодер,Тип слияния,Корпус
Unsupervised Multimodal Learning for Dependency-Free Personality Recognition,2024,IEEE Transactions on Affective Computing,Гибридное,ТАВ,"OpenFace 2.0, CNN+Wav2Vec + BERT",Early fusion / feature-level fusion,"ChaLearn First Impressions, LibriSpeech, RAVDESS"
PACMR,2024,IEEE Signal Processing Letters,С учителем,АВ,Глубокая остаточная аудиовизуальная сеть,progressive adaptive crossmodal reinforcement,ChaLearn First Impressions
A Deep Multimodal Fusion Method for Personality Traits Prediction,2024,Multimedia Tools and Applications,С учителем,ТАВ,ViT-B16 + VGG16 +VGGish +GloVe,"multimodal fusion variants, including self-attention and cross-attention",First Impressions V2
OCEAN-AI,2024,Interspeech,С учителем,ТАВ,Face Mesh + Emo-AffectNet + вручную разработанные признаки лица + 2 LSTM + Emotional VGG16 + eGeMAPS + FCN/LSTM + BERT + LIWC + 2 BiLSTM,Siamese-сеть с gated attention,"First Impressions V2, MuPTA"
Joint Modeling of Big Five and Questionnaire Item-level Scores,2025,AAAI,С учителем,ТАВ,CNN MobileNetV3 + Transformer + 2 сверточных max-pooling слоя,intermediate fusion через multimodal transformer (temporal concatenation + segment embedding + attentive pooling),Собственный корпус авторов
MPRNet,2025,IEEE Transactions on Affective Computing,С учителем,ТАВ,Визуальный энкодер для лица и движений глаз+временное моделирование на основе LSTM +BERT,cross-modal fusion with adaptive weighting + Gram encoding + channel attention,NEUPR
PINet,2025,AAAI,С учителем,ТАВ,"Vision / Video Mamba Block (3D-SSM), AlphaPose + MTCNN + Остаточный Блок 1D + Остаточный блок 1D",Fusion Mamba Block (intermediate fusion),Собственный корпус авторов
A multimodal personality prediction framework based on adaptive graph transformer network and multi-task learning,2025,Computer Graphics Forum,С учителем,ТАВ,Предобученные унимодальные энкодеры + Adaptive Graph Transformer Network,multimodal channel attention residual fusion,"First Impressions V2, UDIVA v0.5"
A Lightweight Multimodal Framework for Big Five Personality Traits,2025,ACM (MER Challenge / Multimedia),С учителем,АВ,Облегчённая архитектура на основе MLP,multimodal fusion,"MER-PR"
Emotion-Assisted Multi-Modal Personality Recognition using Adversarial Contrastive Learning,2025,Knowledge-Based Systems,С учителем,ТАВ,Модуль извлечения признаков + состязательное контрастивное обучение признаков,Emotion feature fusion + emotion score decision fusion; adversarial contrastive fusion strategy,"ChaLearn First Impressions, ELEA"
Self-Esteem Assessment Based on Self-Introduction: A Multimodal Approach to Personality Computing,2025,Assessment,С учителем,ТАВ,Унимодальные энкодеры,late fusion,Собственный корпус авторов
Traits Run Deep,2025,ACM Multimedia,С учителем,ТАВ,Emotion2Vec + SigLIP2 + SFR-Embedding-Mistral,Text-Centric Trait Fusion Network: Chunk-Wise Projector + Cross-Modal Connectors + Text-Feature Enhancer + Ensemble Regression Head,AVI Challenge 2025 dataset
Enhancing Multimodal Personality Assessment with LLM-Augmented Hierarchical Fusion,2025,ACM Multimedia,С учителем,ТАВ,LLM + мультимодальный энкодер,LLM-augmented hierarchical fusion, AVI Challenge 2025 dataset
A Novel Multimodal Personality Prediction Method based on Pretrained Models and Graph Relational Transformer Network,2025,ICASSP,С учителем,ТАВ,Wav2CLIP + CLIP + LSTM,Graph-transformer / relational multimodal fusion,"First Impressions V2, UDIVA"
A DLF Multi-Scale Quantitative Research Method for the Big Five Personality Traits,2026,Scientific Reports,С учителем,АВ,DWTC + CNN + MLP,decision-level fusion,First Impressions V2
Multimodal Framework with Association Features and Pyramid Graph Fusion Network,2026,Expert Systems with Applications,С учителем,ТАВ,Предобученные модели CLIP и CLAP + Transformer-MLP,Multimodal Pyramid Graph Fusion Network (MPGFN) с hierarchical multi-head graph attention,"First Impressions V2, UDIVA v0.5"
Learning Personalised Human Internal Cognition from External Expressive Behaviours for Real Personality Recognition,2026,AAAI,С учителем,АВ,Wav2vec 2.0 + 3DMM + transformer-based PBPL + 2D-GNN,cognition graph learning + 2D-GNN-based graph integration,"NoXI, UDIVA"
SSL-MEPR,2026,Machine Learning and Knowledge Extraction,Полууправляемое,ТАВ,CLIP + Wav2Vec 2.0 + BGE-en,Graph Attention Fusion + task-specific query-based multi-head cross-attention,"CMU-MOSEI, First Impressions v2"
